ratio,cent_y,cent_x,eccentricity,solidity,skew_x,skew_y,kurt_x,kurt_y,output
0.5838189652906365,0.703094452043976,0.49968396255862196,0.8032798479826402,0.7555859888636245,-0.011464325633379537,-0.054343194825324466,-1.1826609785385758,-1.0101211474741045,1
0.3365659158092532,0.6997675802126921,0.6702549970685511,0.8145801823490033,0.4819443943127713,-0.44553017754968205,-1.129942117832222,-0.09109874959111641,1.4053713649951352,1
0.07785564991527917,0.8129852536908713,0.5848270289154761,0.8910420687703288,0.13811778046771994,-0.2905125235286617,-1.5721278286379674,-0.6426263402598904,0.5505116924104891,1
0.22697743851633503,0.8317232203695674,0.6487845965951868,0.8241585193402482,0.26720924274438235,-0.026550269822263547,-1.8855877492986992,-1.1945817639995822,7.726230559820014,1
0.2930472008923103,0.7470066321840018,0.6432333394006167,0.7131580755483408,0.40324619731805017,-0.19914980768156487,-1.8702927544740855,-0.575650174939037,3.7160716632022694,1
0.5838189652906365,0.703094452043976,0.49968396255862196,0.8032798479826402,0.7555859888636245,-0.011464325633379537,-0.054343194825324466,-1.1826609785385758,-1.0101211474741045,1
0.3365659158092532,0.6997675802126921,0.6702549970685511,0.8145801823490033,0.4819443943127713,-0.44553017754968205,-1.129942117832222,-0.09109874959111641,1.4053713649951352,1
0.48690031041451787,0.6455239183504855,0.6334706890364148,0.5338672677491978,0.6153908379276443,-0.14367446199529849,-0.5181170486910799,-0.7924401710865636,-0.22525078531994724,0
0.22148668376189878,0.7950308098931561,0.6820288774381654,0.8063697602913235,0.3290659301605353,-0.5599400052552213,-1.3608485684053935,0.30156525445828297,2.528273689975335,0
0.38802512381946946,0.6199511733633494,0.7073849913134259,0.7030078176627358,0.5451508827907441,-0.8363983882256841,-0.3975879476101208,1.0527143795516256,-0.5283942825800314,0
0.22402727404436007,0.8106453456149556,0.6153449941358997,0.8270414485878318,0.3656794755380824,-0.28170500187003844,-2.6241581923382618,-0.6038578882210346,8.419093311405357,0
0.2267781526444196,0.8036935884265402,0.6109220245986388,0.8299127060105189,0.3641427739883014,-0.28534341030032057,-2.5423205045324404,-0.6299638655218263,7.317434840899052,0
0.2267781526444196,0.8036935884265402,0.6109220245986388,0.8299127060105189,0.3641427739883014,-0.28534341030032057,-2.5423205045324404,-0.6299638655218263,7.317434840899052,0
0.22148668376189878,0.7950308098931561,0.6820288774381654,0.8063697602913235,0.3290659301605353,-0.5599400052552213,-1.3608485684053935,0.30156525445828297,2.528273689975335,0
